X,Y,Au,Au_2,Ag,Al,As,Ba,Be,Ca,Cd,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,S,Sb,Sc,Si,Sr,Th,Ti,U,V,Y,Yb,Zn,Zr
681915,4165936,12,1,0.48,85628,21.7,710,3.6,8938,0.25,105,20,68,90,51956,38549,57,20,11230,2830,2.9,15351,35,1209,31,360,1.05,15.6,0,146,21,5716,3.75,136,39,3.6,160,38
680330,4166609,9,1,0.26,70552,8.7,524,1.9,41570,0.24,70,16,95,92,39653,24469,34,25,9770,776,0.75,8803,49,584,26,409,1.06,12.5,0,198,13.1,4465,3.75,106,22,2,98,80
679527,4166649,5,0,0.29,73959,12.1,634,1.6,18613,0.24,65,18,89,49,41838,28247,33,25,10412,1334,0.69,12972,56,828,26,504,1.02,13,0,211,14.1,4893,3.75,120,22,2.1,103,91
678880,4165562,5,0,0.35,73825,17.5,657,1.7,27983,0.28,61,21,88,84,44511,24059,31,24,10409,1456,0.74,12335,51,741,31,335,0.97,14.5,0,255,13.7,4404,3.75,139,21,2,129,89
679157,4164728,5,0,0.26,66311,10.3,474,1.6,49161,0.26,59,20,138,40,43214,17889,29,29,12897,1093,0.69,8266,75,536,25,326,0.92,12.9,0,216,17.8,4768,5.3,124,21,2,98,94
683731,4163391,5,0,0.3,66251,12.6,558,1.6,32662,0.26,63,19,107,40,34790,21229,32,24,9422,1232,0.68,8605,63,521,32,371,0.85,11.2,0,213,13.1,4320,3.75,99,20,1.9,94,98
684780,4163320,5,0,0.39,78620,18.7,806,2.2,11993,0.29,70,18,70,77,45081,33592,38,23,9907,1529,1.3,11016,39,1062,52,415,0.91,12.9,0,226,16.8,4686,3.75,118,26,2.3,221,105
684938,4163359,5,0,0.51,70516,50,814,2.2,16849,1.2,58,22,59,41,53477,24074,35,19,9931,5127,6.3,10687,35,748,88,1100,0.99,12.7,0,300,18.2,3954,3.75,124,25,2.2,954,51
685186,4162166,11,1,0.35,71313,34.1,689,1.9,8554,0.32,80,16,53,59,36311,30926,43,19,9427,1684,5.6,8908,35,711,45,562,1.06,9.9,0,177,22.1,3768,3.75,94,18,1.6,200,55
673287,4153074,5,0,0.33,99746,8.5,586,1.5,33710,0.19,56,14,54,44,42906,19901,32,24,9891,666,0.75,24948,37,747,18,123,1.1,11.2,0,542,11.2,5413,3.75,130,15,1.6,91,84
674425,4153024,5,0,0.34,95048,8.2,545,1.3,38601,0.23,56,23,95,42,75443,17041,33,23,9687,901,0.65,24252,44,670,27,143,1.25,11.5,0,545,10.3,8737,3.75,282,15,2,137,83
675271,4152183,5,0,0.27,96369,9.5,767,1.6,48249,0.22,62,21,86,49,47623,21958,33,27,13466,988,0.68,19088,59,739,26,375,0.95,13.2,0,448,14.3,6112,3.75,143,19,1.9,104,94
674890,4152690,5,0,0.35,92381,8.9,508,1.2,37495,0.25,51,25,113,42,83086,16053,31,23,9283,901,0.71,22933,48,593,29,159,1.11,11.2,0,512,9.9,9512,6.2,312,14,2.1,148,80
675272,4152305,5,0,0.32,13333.33,6,643,1.5,39082,0.23,60,18,63,43,41262,19635,31,24,11348,966,0.66,24338,47,671,23,151,1.04,12,0,553,12.3,5148,3.75,123,17,1.7,89,83
672465,4154031,5,0,0.3,96428,7.4,619,1.8,28975,0.24,62,14,67,51,39196,24958,35,25,11915,751,0.72,19636,44,934,22,223,1.18,13.2,0,449,12,4856,3.75,103,21,2,91,99
672374,4155249,5,0,0.26,86768,6.5,483,1.4,60752,0.25,57,15,55,42,36158,17747,30,24,15453,833,0.58,7780,37,801,21,214,0.98,10.6,0,252,9.7,4289,3.75,98,17,1.6,81,85
672808,4155741,5,0,0.38,89637,9.3,556,1.6,46336,0.24,60,15,52,55,38209,26744,31,23,13098,785,0.72,14228,36,778,23,170,1.2,11.5,0,313,11,4767,3.75,107,18,1.8,94,95
672982,4156059,6,1,0.27,92136,5.1,527,1.5,42597,0.23,51,15,52,37,47550,20041,29,20,9904,705,0.7,24249,32,793,21,152,1.21,10,0,515,9.9,6063,3.75,156,15,1.6,90,68
673082,4156110,5,0,0.29,88539,7.3,549,1.5,53066,0.21,54,13,48,39,36483,22081,30,22,12571,756,0.61,17120,35,852,20,333,1.12,10.2,0,390,10.8,4350,3.75,100,16,1.5,77,72
673243,4156979,9,1,0.33,95492,4.8,542,1.6,37232,0.24,56,14,50,42,38000,21528,31,22,10592,673,0.68,24019,34,968,19,229,1.09,10.5,0,522,10.4,4515,3.75,111,16,1.6,76,77
672646,4157771,6,1,0.29,93163,5.1,560,1.4,38483,0.22,58,17,61,45,49907,18683,32,23,10194,816,0.65,24137,36,747,24,167,1.12,10.1,0,510,10.3,5934,3.75,161,15,1.6,98,75
672851,4157507,5,0,0.31,91679,5,526,1.3,37213,0.25,62,21,72,40,69094,18191,37,21,9916,842,0.67,24802,35,873,26,146,1.2,11,0,539,10.5,7788,3.75,246,15,1.9,127,75
672930,4160390,5,0,0.29,89125,5.7,478,1.4,36166,0.24,67,26,94,45,83508,18821,39,20,10574,1030,0.59,22837,43,807,35,181,1.15,11.8,0,507,11.3,8360,3.75,287,17,2.2,159,77
673782,4159895,5,0,0.23,84433,9.7,490,1.4,58288,0.21,64,18,96,38,47872,19854,35,25,10381,842,0.68,17677,54,655,24,272,0.95,11,0,387,10.6,5524,3.75,144,18,1.8,100,87
674550,4159766,5,0,0.26,91345,8.4,541,1.5,44395,0.26,58,14,57,35,39365,21356,33,21,9780,707,0.55,23914,37,740,19,213,1.15,10.2,0,516,11.4,4593,3.75,110,16,1.6,75,79
674732,4159430,5,0,0.26,82124,7.1,478,1.4,76154,0.22,56,15,76,35,38928,16574,31,24,10498,720,0.62,17150,48,601,18,241,1.12,10.6,0,403,10,4463,3.75,108,17,1.7,77,82
675069,4158948,5,0,0.27,90722,6.8,519,1.4,44660,0.24,54,13,47,34,35562,19464,30,21,9713,679,0.67,22893,35,669,18,186,1.08,9.9,0,503,9.7,4027,3.75,95,15,1.5,71,73
675220,4158638,5,0,0.25,86253,6,501,1.3,37051,0.22,53,15,61,31,43975,20520,30,18,9574,712,0.65,22797,33,810,17,365,1.05,10.1,0,497,10,5296,3.75,133,15,1.5,84,72
673614,4162080,5,0,0.28,82539,9.9,487,1.4,60389,0.24,60,15,71,39,46884,19509,34,22,11159,679,0.64,18941,39,649,20,228,1.22,10.7,0,428,10.2,5365,3.75,141,16,1.7,88,86
